url,name,review_count,address,category,phone,website
https://www.google.com/maps/place/Axal+Asbestos+Removal+Edmonton+Ltd/data=!4m7!3m6!1s0x48610830c6b5a6f9:0x73772958b0cd355d!8m2!3d51.6228417!4d-0.061524!16s%2Fg%2F11q266jb_n!19sChIJ-aa1xjAIYUgRXTXNsFgpd3M?authuser=0&hl=en&rclk=1,Axal Asbestos Removal Edmonton Ltd,," 391A Fore St, London N9 0NR, United Kingdom ",Asbestos testing service,+442045380542,asbestosremovaledmonton.co.uk 
https://www.google.com/maps/place/24-7+Asbestos+Surveys+London/data=!4m7!3m6!1s0x48760537744ff655:0xafb51ec26ed5a6e9!8m2!3d51.5073509!4d-0.1277583!16s%2Fg%2F11ft6xkdpv!19sChIJVfZPdDcFdkgR6abVbsIeta8?authuser=0&hl=en&rclk=1,24-7 Asbestos Surveys London,," London WC2N 5DU, United Kingdom ",Asbestos testing service,+443333442114,asbestossurveysuk.co.uk 
https://www.google.com/maps/place/Azuri+Asbestos+Removal+Acton+Ltd/data=!4m7!3m6!1s0x48766fac1856b86b:0xa19115c7cc384ec7!8m2!3d51.5084165!4d-0.2714651!16s%2Fg%2F11jvdp2sr1!19sChIJa7hWGKxvdkgRx044zMcVkaE?authuser=0&hl=en&rclk=1,Azuri Asbestos Removal Acton Ltd,," 13 Horn Ln, London W3 9NJ, United Kingdom ",Asbestos testing service,+442038660545,asbestosremovalacton.co.uk 
https://www.google.com/maps/place/247+Asbestos+Services+London/data=!4m7!3m6!1s0x48761b5672447663:0xc2417a843a8d2487!8m2!3d51.5206707!4d-0.0954497!16s%2Fg%2F11cs6bjjwz!19sChIJY3ZEclYbdkgRhySNOoR6QcI?authuser=0&hl=en&rclk=1,247 Asbestos Services London,," Bridgewater House, 45 Beech St, Barbican, London EC2Y 8AD, United Kingdom ",Asbestos testing service,+442038236055,
https://www.google.com/maps/place/Asbestos+Removal+Putney+Ltd/data=!4m7!3m6!1s0x48886c03bbbfc959:0x4a945dcc3f800eb3!8m2!3d51.4616051!4d-0.2200209!16s%2Fg%2F1wn337kq!19sChIJWcm_uwNsiEgRsw6AP8xdlEo?authuser=0&hl=en&rclk=1,Asbestos Removal Putney Ltd,," 260B Upper Richmond Rd, London SW15 6TQ, United Kingdom ",Asbestos testing service,+442039474012,protekasbestosremoval.com 
https://www.google.com/maps/place/London+Asbestos/data=!4m7!3m6!1s0x48766fca4f5bdde7:0x7da9903532722fba!8m2!3d51.5464362!4d-0.4782295!16s%2Fg%2F11lccxys0x!19sChIJ591bT8pvdkgRui9yMjWQqX0?authuser=0&hl=en&rclk=1,London Asbestos,," 172 High St, Uxbridge UB8 1JZ, United Kingdom ",Asbestos testing service,+441789430190,
https://www.google.com/maps/place/Rilmac+Insulation+%26+Asbestos+Services+-+London+%26+Southern/data=!4m7!3m6!1s0x48761fffa0b48ad7:0xf83df9e58f4348fe!8m2!3d51.5977673!4d0.2222128!16s%2Fg%2F11b76d3x80!19sChIJ14q0oP8fdkgR_khDj-X5Pfg?authuser=0&hl=en&rclk=1,Rilmac Insulation & Asbestos Services - London & Southern,," Unit 4, Ashton Gate, Ashton Rd, Harold Hill, Romford RM3 8UD, United Kingdom ",Asbestos testing service,+448006129002,rilmac.co.uk 
https://www.google.com/maps/place/Aspen+Safe+Asbestos+Survey+Islington+Ltd/data=!4m7!3m6!1s0x48761b36a3018fdd:0xe19deb79b7c2f51e!8m2!3d51.5346901!4d-0.1044655!16s%2Fg%2F11cn9z066s!19sChIJ3Y8BozYbdkgRHvXCt3nrneE?authuser=0&hl=en&rclk=1,Aspen Safe Asbestos Survey Islington Ltd,," 353 Upper St, London N1 0PD, United Kingdom ",Asbestos testing service,+442039106395,asbestosremovalislington.co 
https://www.google.com/maps/place/Astrax+Asbestos+Removal+Battersea+Ltd/data=!4m7!3m6!1s0x48761afe508566cb:0x8aabbfa1027c6ae2!8m2!3d51.4716904!4d-0.1677928!16s%2Fg%2F1hc1sp359!19sChIJy2aFUP4adkgR4mp8AqG_q4o?authuser=0&hl=en&rclk=1,Astrax Asbestos Removal Battersea Ltd,," 290 Battersea Park Rd, London SW11 3BT, United Kingdom ",Asbestos testing service,+442038718835,
